method,path,frontend_helper_present
GET,"/",true
POST,"/contact",true
GET,"/health",false
RESOURCE,"offers",true
RESOURCE,"carpooling-ads",true
RESOURCE,"help-requests",true
RESOURCE,"types",true
GET,"/users/analytics",true
RESOURCE,"users",true
RESOURCE,"organizations",true
GET,"/organizations/:id/resources",false
GET,"/organizations/:id/volunteers",false
POST,"/organizations/:id/volunteers",false
PUT,"/organizations/:id/volunteers/:userId",false
DELETE,"/organizations/:id/volunteers/:userId",false
GET,"/organizations/:id/events",false
GET,"/organizations/:id/tasks",false
GET,"/organizations/:id/hours",false
POST,"/organizations/:id/hours/approve",false
GET,"/organizations/:id/analytics",false
GET,"/organizations/:id/compliance",false
GET,"/organizations/:organizationId/invites",false
POST,"/organizations/:organizationId/invites",false
POST,"/organizations/:organizationId/invites/:id/resend",false
DELETE,"/organizations/:organizationId/invites/:id",false
POST,"/invites/:token/accept",false
POST,"/invites/:token/reject",false
RESOURCE,"roles",true
RESOURCE,"events",true
RESOURCE,"tasks",true
RESOURCE,"assignments",true
RESOURCE,"compliance",true
GET,"/compliance/:id/file",false
RESOURCE,"background-checks",true
POST,"/ai/match",true
POST,"/ai/forecast",true
POST,"/register",true
POST,"/login",true
POST,"/logout",true
GET,"/me",true
RESOURCE,"resources",true
GET,"/resources/dashboard",true
GET,"/resources/low-stock",true
GET,"/resources/maintenance",true
GET,"/resources/:id/assignments",false
POST,"/resources/:id/assign",false
POST,"/assignments/:id/return",false
PATCH,"/resources/:id/status",false
POST,"/resources/:id/maintenance",false
POST,"/resources/:id/retire",false
POST,"/resources/:id/reactivate",false
RESOURCE,"audit-logs",true
RESOURCE,"communications",true
GET,"/communications/:id/logs",false
POST,"/communications/logs/:id/retry",false
POST,"/communications/logs/bulk-retry",true
GET,"/notifications",true
PUT,"/notifications/:id/read",false
PUT,"/notifications/:id/unread",false
GET,"/notifications/stream",false
RESOURCE,"surveys",true
POST,"/surveys/:id/submit",false
GET,"/surveys/:id/responses",false
GET,"/surveys/:id/responses/export",false
POST,"/users/:id/remind",false
POST,"/users/bulk",true
POST,"/users/:id/roles",false
DELETE,"/users/:id/roles/:roleId",false
POST,"/users/:id/activate",false
POST,"/events/:id/ai-match",false
POST,"/events/:id/join",false
POST,"/compliance/remind/:userId",false
GET,"/reports",true
GET,"/reports/volunteers",true
GET,"/reports/events",true
GET,"/reports/hours",true
GET,"/reports/organizations",true
GET,"/reports/compliance",true
GET,"/reports/export",true
GET,"/settings",true
POST,"/settings",true
GET,"/monitoring/stats",true
GET,"/monitoring/recent",true
GET,"/hours",true
PUT,"/hours/:id",false
POST,"/hours/bulk",true
RESOURCE,"courses",true
RESOURCE,"achievements",true
GET,"/shifts",true
POST,"/shifts",true
GET,"/shifts/:id",false
GET,"/shifts/:id/suggestions",false
PUT,"/shifts/:id",false
DELETE,"/shifts/:id",false
GET,"/shift-assignments",true
POST,"/shift-assignments",true
POST,"/shift-assignments/bulk",true
PUT,"/shift-assignments/:id",false
DELETE,"/shift-assignments/:id",false
GET,"/scheduled-jobs",true
GET,"/scheduled-jobs/:id",false
POST,"/scheduled-jobs",true
POST,"/scheduled-jobs/:id/retry",false
GET,"/admin/dashboard",true
GET,"/admin/analytics",true
GET,"/admin/summary",true
GET,"/admin/features",true
GET,"/admin/activity",true
GET,"/admin/pending-hours/organizations",true
GET,"/admin/export",true
GET,"/admin/organizations",true
POST,"/admin/organizations/:id/approve",false
POST,"/admin/organizations/:id/suspend",false
POST,"/admin/organizations/:id/reactivate",false
POST,"/admin/organizations/:id/archive",false
GET,"/admin/users",true
POST,"/admin/users/:id/disable",false
POST,"/admin/users/:id/enable",false
GET,"/admin/templates",true
POST,"/admin/templates",true
GET,"/admin/templates/:key",false
PUT,"/admin/templates/:key",false
POST,"/admin/templates/:key/reset",false
DELETE,"/admin/templates/:key",false
POST,"/admin/templates/preview",true
GET,"/admin/system-settings",true
PUT,"/admin/system-settings",true
POST,"/admin/system-settings/branding",true
POST,"/admin/organizations/:organizationId/invites/:id/accept",false
GET,"/admin/backup",true
GET,"/admin/backup/status",true
GET,"/volunteer/dashboard",true
GET,"/volunteer/profile",true
PUT,"/volunteer/profile",true
GET,"/volunteer/opportunities",true
GET,"/volunteer/opportunities/:id",false
POST,"/volunteer/opportunities/:id/bookmark",false
DELETE,"/volunteer/opportunities/:id/bookmark",false
GET,"/volunteer/bookmarks",true
GET,"/volunteer/applications",true
GET,"/volunteer/attendance",true
GET,"/volunteer/hours",true
GET,"/volunteer/organizations",true
POST,"/volunteer/organizations/:id/join",false
DELETE,"/volunteer/organizations/:id/leave",false
GET,"/volunteer/achievements",true
GET,"/calendar/public-opportunities",true
GET,"/calendar/my-schedule",true
GET,"/calendar/organization-opportunities",true
GET,"/calendar/events",true
GET,"/calendar/subscription-urls",true